time,open,high,low,close,Volume,Volume MA
1521756000,80.972,80.972,80.972,80.972,0,10
1522015200,80.245,80.267,80.245,80.267,0,10
1522101600,80.504,80.504,80.504,80.504,0,10
1522188000,80.234,80.234,80.234,80.234,0,10
1522274400,80.558,80.558,80.558,80.558,0,10
1522620000,78.153,78.153,78.153,78.153,0,10
1522706400,79.004,79.004,79.004,79.004,0,10
1522792800,79.416,79.416,79.377,79.377,0,10
1522879200,79.556,79.556,79.556,79.556,0,10
1522965600,78.227,78.227,78.227,78.227,0,10
1523224800,79.457,79.457,79.457,79.457,0,10
1523311200,81.387,81.387,81.387,81.387,0,10
1523397600,82.42,82.42,82.42,82.42,100,15
1523484000,81.835,81.835,81.835,81.835,0,15
1523570400,82.223,82.223,82.223,82.223,0,15
1523829600,81.024,81.024,81.024,81.024,0,15
1523916000,81.115,81.115,81.115,81.115,0,15
1524002400,82.411,82.411,82.411,82.411,0,15
1524088800,82.408,82.408,82.408,82.408,0,5
1524175200,83.191,83.191,83.191,83.191,0,5
1524434400,84.259,84.259,84.259,84.259,0,5
1524520800,82.986,82.986,82.986,82.986,0,5
1524607200,83.054,83.054,83.054,83.054,0,5
1524693600,83.748,83.748,83.748,83.748,0,5
1524780000,84.265,84.539,84.265,84.265,200,15
1525039200,84.697,84.697,84.697,84.697,0,15
1525125600,83.242,83.242,83.242,83.242,0,15
1525212000,83.143,83.143,83.143,83.143,0,15
1525298400,83.277,83.277,83.277,83.277,0,15
1525384800,84.072,84.072,84.072,84.072,0,15
1525644000,84.072,85.009,84.072,85.009,0,15
1525730400,84.239,84.239,84.239,84.239,0,15
1525816800,86.652,86.652,86.652,86.652,0,10
1525903200,87.446,87.446,87.433,87.433,0,10
1525989600,87.436,87.436,87.436,87.436,0,10
1526248800,87.96,87.96,87.96,87.96,0,10
1526335200,88.33,88.33,88.33,88.33,0,10
1526421600,90.365,90.365,90.345,90.345,0,10
1526508000,90.18,90.18,90.18,90.18,0,10
1526594400,89.664,89.664,89.664,89.664,0,10
1526853600,90.772,90.772,90.772,90.772,0,10
1526940000,91.203,91.203,91.203,91.203,0,10
1527026400,90.938,90.938,90.917,90.917,0,10
1527112800,89.93,89.93,89.93,89.93,0,10
1527199200,87.699,87.699,87.699,87.699,0,0
1527544800,86.352,86.352,86.352,86.352,0,0
1527631200,87.711,87.711,87.69,87.69,0,0
